occurrence.genus_name	occurrence.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
Monoclonius	sp.		United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Kirtland
Monoclonius	sp.		United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Cokedale
Monoclonius	sphenocerus	AMNH 3989	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Judith River
Nasutoceratops	titusi	UMNH VP 16800	United States	Utah	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Kaiparowits
Ojoceratops	fowleri	SMP VP-1865	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Ojo Alamo
Ojoceratops	fowleri	SMP VP-1865	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Ojo Alamo
Ojoceratops	fowleri	SMP VP-1865	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Ojo Alamo
Ojoceratops	fowleri	SMP VP-1865	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Ojo Alamo
Ojoceratops	fowleri	SMP VP-1865	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Ojo Alamo
Ojoceratops	fowleri	SMP VP-1865	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Ojo Alamo
Pachyrhinosaurus	canadensis	NMC 8867	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Horseshoe Canyon
Pachyrhinosaurus	canadensis	NMC 8867	Canada	Alberta	Cretaceous	Late/Upper Cretaceous		84.9	66.043	St. Mary River
Pachyrhinosaurus	canadensis	NMC 8867	Canada	Alberta	Cretaceous	Late/Upper Cretaceous		84.9	66.043	St. Mary River
Pachyrhinosaurus	canadensis	NMC 8867	Canada	Alberta	Cretaceous	Late/Upper Cretaceous		84.9	66.043	St. Mary River
Pachyrhinosaurus	canadensis	NMC 8867	Canada	Alberta	Cretaceous	Late/Upper Cretaceous		73.1	72.9	St. Mary River
Pachyrhinosaurus	lakustai	TMP 1986.55.258	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Wapiti
Pachyrhinosaurus	perotorum	DMNH21200	United States	Alaska	Cretaceous	Late/Upper Cretaceous	Maastrichtian	68	71	Prince Creek
Pachyrhinosaurus	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Horseshoe Canyon
Pachyrhinosaurus	sp.		Canada	Northwest Territories	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Summit Creek
Pachyrhinosaurus	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Wapiti
Pachyrhinosaurus	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Horseshoe Canyon
Pachyrhinosaurus	sp.		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Horseshoe Canyon
Pachyrhinosaurus	sp.		United States	Alaska	Cretaceous	Late/Upper Cretaceous	Campanian	71.4	71.2	Prince Creek
Pentaceratops	aquilonius	CMN 9813	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Pentaceratops	aquilonius	CMN 9813	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Pentaceratops	sp.		United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Kirtland
Pentaceratops	sp.		United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	71.8	71.6	Kirtland
Pentaceratops	sp.		United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	71.8	71.6	Kirtland
Pentaceratops	sp.		United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	71.8	71.6	Kirtland
Pentaceratops	sp.		United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	71.8	71.6	Fruitland
Pentaceratops	sp.		United States	Texas	Cretaceous	Late/Upper Cretaceous		84.9	66.043	Aguja
Pentaceratops	sp.		United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Kirtland
Pentaceratops	sternbergii	AMNH 6325	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	71.8	71.6	Fruitland
Pentaceratops	sternbergii	AMNH 6325	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Kirtland
Pentaceratops	sternbergii	AMNH 6325	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	71.8	71.6	Kirtland
Pentaceratops	sternbergii	AMNH 6325	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	71.8	71.6	Fruitland
Pentaceratops	sternbergii	PMU.R200, R.286	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	71.8	71.6	Kirtland
Pentaceratops	sternbergii	AMNH 6325	United States	Colorado	Cretaceous	Late/Upper Cretaceous		84.9	66.043	Williams Fork
Pentaceratops	sternbergii	AMNH 6325	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Fruitland
Polyonax	mortuarius	USNM 244535/AMNH 3950	United States	Colorado	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Laramie
Regaliceratops	peterhewsi	TMP 2005.055.0001	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	St. Mary River
Rubeosaurus	ovatus	USNM 11869	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	73.9	72.5	Two Medicine
Rubeosaurus	ovatus	USNM 11869	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Two Medicine
Sinoceratops	zhuchengensis	ZCDM V0010	China	Shandong	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Xingezhuang
Spiclypeus	shipporum	CMN 57081	United States	Montana	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Judith River
Spinops	sternbergorum	NHMUK R16307	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Oldman
Styracosaurus	albertensis	AMNH 5351	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Styracosaurus	albertensis	NMC 344	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Styracosaurus	albertensis		Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Styracosaurus	albertensis	NMC 344	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Styracosaurus	albertensis	NMC 344	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Styracosaurus	albertensis	NMC 344	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Styracosaurus	albertensis	NMC 344	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Styracosaurus	albertensis	NMC 344	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Styracosaurus	albertensis	NMC 344	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Styracosaurus	albertensis	NMC 344	Canada	Alberta	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Dinosaur Park
Tatankaceratops	sacrisonorum	BHI-6226	United States	South Dakota	Cretaceous	Late/Upper Cretaceous	Maastrichtian	70.6	66.043	Hell Creek
Titanoceratops	ouranos	OMNH 10165	United States	New Mexico	Cretaceous	Late/Upper Cretaceous	Campanian	84.9	70.6	Fruitland/Kirtland
Torosaurus	latus	YPM 1830	United States	North Dakota	Cretaceous	Late/Upper Cretaceous	Maastrichtian	66.5	66.3	Hell Creek
