collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
45897	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	78.8	78.6	Oldman
45898	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	80.9	76.2	Oldman
46152	ETE	"M. Carrano"	"n. gen."	Saurornithoides	"n. sp."	mongoliensis	"n. gen."	Ornithoides	"n. sp."	oshiensis	"AMNH 6516"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
46934	ETE	"M. Carrano"	"n. gen."	Sinornithoides	"n. sp."	youngi		Saurornithoides		sp.	"IVPP V9612"	China	"Nei Mongol"	Cretaceous	"Early/Lower Cretaceous"		140.200	99.700	Ejinhoro
46951	ETE	"M. Carrano"		Troodon		formosus		Troodon		formosus	"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
46973	ETE	"M. Carrano"		Saurornithoides		mongoliensis					"AMNH 6516"	China	"Nei Mongol"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Bayan Mandahu"
47029	ETE	"M. Carrano"		Troodon		sp.						"Russian Federation"	Amur	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Udurchukan
47784	PaleoDB	"R. Whatley"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	"Dinosaur Park"
47794	PaleoDB	"R. Whatley"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
47795	PaleoDB	"R. Whatley"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
47807	PaleoDB	"R. Whatley"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
47809	PaleoDB	"R. Whatley"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.2	79.0	Oldman
47811	PaleoDB	"R. Whatley"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
47812	PaleoDB	"R. Whatley"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
49276	ETE	"M. Carrano"	"n. gen."	Euronychodon	"n. sp."	portucalensis					"CEGUNL-TV 20"	Portugal	Coimbra	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Argilas de Aveiro"
50907	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Judith River"
51889	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	"United States"	Alaska	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	68	71	"Prince Creek"
51890	ETE	"M. Carrano"		Troodon		formosus		Troodon		sp.	"ANSP 9259"	"United States"	Alaska	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Prince Creek"
51892	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	"United States"	Alaska	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Prince Creek"
51893	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	"United States"	Alaska	Cretaceous	"Late/Upper Cretaceous"		80.9	73.3	"Prince Creek"
51972	ETE	"M. Carrano"	"n. gen."	Tochisaurus	"n. sp."	nemegtensis		Troodontidae		indet.	"PIN 551-244"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
