collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	collection.reference_no	country	state	period	epoch	stage	ma_max	ma_min	formation
66924	ETE	"M. Carrano"	"n. gen."	Gobisaurus	"n. sp."	domoculus					"IVPP V12563"	19051	China	"Nei Mongol"	Cretaceous	"Late/Upper Cretaceous"	Turonian	94.300	89.300	Ulansuhai
75289	ETE	"M. Carrano"		Ankylosaurus		magniventris		Ankylosaurus		sp.	"AMNH 5895"	2236	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
75430	ETE	"M. Carrano"		Ankylosaurus		magniventris		Ankylosaurus		sp.	"AMNH 5895"	2236	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
75435	ETE	"M. Carrano"		Ankylosaurus		magniventris		Ankylosaurus		sp.	"AMNH 5895"	2236	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.6	70.4	Ferris
76107	ETE	"M. Carrano"		Nodocephalosaurus		kirtlandensis					"SMP VP-900"	25803	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
76761	PaleoDB	"M. Carrano"		Nodocephalosaurus		kirtlandensis					"SMP VP-900"	25980	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
76762	ETE	"M. Carrano"		Nodocephalosaurus		kirtlandensis					"SMP VP-900"	25980	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
76763	ETE	"M. Carrano"		Nodocephalosaurus		kirtlandensis					"SMP VP-900"	25980	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
77191	Fossilworks	"J. Alroy"		Shamosaurus		scutatus					"PIN 3779/2"	30554	Mongolia	Ovorhangai	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	Dzunbain
79687	ETE	"M. Carrano"	"n. gen."	Zhongyuanosaurus	"n. sp."	luoyangensis	"n. gen."	Zhongyuangosaurus	"n. sp."	luoyangensis	41HIII-0002	26778	China	Henan	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	Haoling
79702	ETE	"M. Carrano"	"n. gen."	Talarurus	"n. sp."	plicatospineus					"PIN 557"	14385	Mongolia	Dornogov	Cretaceous	"Late/Upper Cretaceous"		99.700	84.900	Baynshire
79703	ETE	"M. Carrano"		Pinacosaurus		sp.		Syrmosaurus		sp.		14387	Mongolia	Ovorkhangai	Cretaceous	"Early/Lower Cretaceous"		145.500	99.700	Öösh
91200	ETE	"M. Carrano"	"n. gen."	Crichtonsaurus	"n. sp."	bohlini					"IVPP V12745"	29879	China	Liaoning	Cretaceous	"Late/Upper Cretaceous"		99.700	89.300	Sunjiawan
91201	ETE	"M. Carrano"		Crichtonsaurus	"n. sp."	benxiensis					"BXGM V0012"	30689	China	Liaoning	Cretaceous	"Late/Upper Cretaceous"		99.700	89.300	Sunjiawan
94370	ETE	"M. Carrano"		Anodontosaurus		lambei					"NMC 8530"	4218	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
97950	ETE	"M. Carrano"		Cedarpelta		bilbeyhallorum					"CEUM 12360"	32617	"United States"	Utah	Cretaceous	"Early/Lower Cretaceous"		122.460	109.000	"Cedar Mountain"
100261	ETE	"M. Carrano"		Pinacosaurus		sp.						42293	Mongolia	Omngov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
127664	PaleoDB	"R. Benson"		Tsagantegia		sp.						42292	Mongolia	Dornogov	Cretaceous	"Late/Upper Cretaceous"		99.700	84.900	Baynshire
127678	ETE	"R. Benson"	?	Pinacosaurus		sp.						42292	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
127678	ETE	"R. Benson"		Pinacosaurus		sp.						42292	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
130798	PaleoDB	"R. Benson"		Pinacosaurus		sp.		Ankylosauria		indet.		42289	Mongolia	"Ömnögovi Aimag"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
130804	ETE	"R. Benson"	"n. gen."	Zaraapelta	"n. sp."	nomadis					"MPC D100/1338"	53759	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		99.700	84.900	Baynshire
135807	PaleoDB	"C. Schweitzer"		Euoplocephalus		tutus		Anodontosaurus		lambei	"NMC 210"	43451	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Bearpaw Shale"
138980	PaleoDB	"R. Benson"	"n. gen."	Oohkotokia	"n. sp."	horneri					"MOR 433"	44665	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Two Medicine"
142497	PaleoDB	"M. Carrano"	?	Oohkotokia		sp.		Ankylosauridae		indet.		12319	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"		85.800	70.600	"Two Medicine"
144551	PaleoDB	"P. Mannion"		Scolosaurus	"n. sp."	thronus		Stegosauria		indet.	"ROM 1930 (incl. CMN 842)"	62883	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	
144561	PaleoDB	"P. Mannion"		Anodontosaurus		lambei					"NMC 8530"	46759	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
155027		"M. Carrano"		Platypelta		coombsi		Euoplocephalus		sp.	"AMNH 5337"	17480	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
155220		"M. Carrano"	?	Platypelta		coombsi		Ankylosauridae		indet.	"AMNH 5337"	46759	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
155221		"M. Carrano"		Anodontosaurus	"n. sp."	inceptus		Anodontosaurus		lambei	"TMP 1997.132.1"	46759	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
155222		"M. Carrano"		Anodontosaurus		lambei					"NMC 8530"	46759	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Horseshoe Canyon"
155223		"M. Carrano"		Anodontosaurus		lambei		Euoplocephalus		sp.	"NMC 8530"	17500	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
155224		"M. Carrano"		Anodontosaurus		inceptus		Ankylosauria		indet.	"TMP 1997.132.1"	54104	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Horseshoe Canyon"
155225		"M. Carrano"		Anodontosaurus		lambei		Ankylosauria		indet.	"NMC 8530"	62882	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Horseshoe Canyon"
155226		"M. Carrano"		Anodontosaurus		lambei					"NMC 8530"	46759	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Horseshoe Canyon"
155227		"M. Carrano"		Anodontosaurus		lambei		Ankylosauria		indet.	"NMC 8530"	62882	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Horseshoe Canyon"
155228		"M. Carrano"		Euoplocephalus		tutus	?	Scelidosaurus	"n. sp."	sp.		52721	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
155267		"M. Carrano"		Platypelta		coombsi		Euoplocephalus		sp.	"AMNH 5337"	17480	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
155994		"G. Lloyd"	"n. gen."	Taohelong	"n. sp."	jinchengensis						51075	China	Gansu	Cretaceous	"Early/Lower Cretaceous"		145.500	99.700	"Unit 5"
156486		"R. Benson"	"n. gen."	Ahshislepelta	"n. sp."	minor					"SMP VP-1930"	51267	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
159589		"M. Carrano"		Euoplocephalus		sp.						52140	China	Xinjiang	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Subashi
160135		"M. Carrano"	"n. gen."	Chuanqilong	"n. sp."	chaoyangensis					"CJPM V001"	52265	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"	Aptian	125.450	112.600	Jiufotang
167657		"P. Mannion"		Pinacosaurus		grangeri					"AMNH 6523"	59136	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		85.800	70.600	Alagteeg
169229		"M. Carrano"	"n. gen."	Ziapelta	"n. sp."	sanjuanensis					"NMMNH P-64484"	55263	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
179625		"M. Carrano"		Tarchia	"n. sp."	teresae	""""	Dyoplosaurus		giganteus	"PIN 3142/250"	59136	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Nemegt
180299		"M. Carrano"		Tarchia		gigantea	""""	Ankylosauridae		indet.		9902	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Nemegt
180708		"M. Carrano"	"n. gen."	Jinyunpelta	"n. sp."	sinensis					"ZMNH M8960"	60063	China	Zhejiang	Cretaceous	"Early/Lower Cretaceous"	Albian	112.600	99.700	Liangtoutang
