collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
94765	PaleoDB	"R. Butler"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
97813	ETE	"M. Carrano"	"n. gen."	Balaur	"n. sp."	bondoc					"EME PV.313"	Romania	Alba	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Sebes
97951	ETE	"M. Carrano"		Deinonychus		sp.						"United States"	Utah	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	"Cedar Mountain"
97954	ETE	"M. Carrano"	"n. gen."	Yurgovuchia	"n. sp."	doellingi					"UMNH VP 20211"	"United States"	Utah	Cretaceous	"Early/Lower Cretaceous"	Barremian	130.000	125.450	"Cedar Mountain"
102191	ETE	"M. Carrano"	?	Richardoestesia		sp.						"United States"	Texas	Cretaceous	"Late/Upper Cretaceous"	Cenomanian	99.700	94.300	Woodbine
102299	ETE	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Wyoming	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	Cloverly
105772	ETE	"M. Carrano"		Microraptor		sp.						China	Liaoning	Cretaceous	"Early/Lower Cretaceous"	Aptian	125.450	112.600	Jiufotang
109657	ETE	"M. Carrano"		Saurornitholestes		sp.						"United States"	Texas	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Aguja
109658	PaleoDB	"M. Carrano"		Saurornitholestes		sp.						"United States"	Texas	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Aguja
118207	PaleoDB	"R. Benson"		Microraptor		zhaoianus					"IVPP V.12330"	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"	Aptian	125.450	122.460	Jiufotang
127186	PaleoDB	"R. Benson"	"n. gen."	Zhenyuanlong	"n. sp."	suni					JPM-0008	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"		130.000	112.600	Yixian
127668	ETE	"R. Benson"		Velociraptor		sp.						Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
127678	ETE	"R. Benson"		Velociraptor		sp.						Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
131829	PaleoDB	"G. Lloyd"	"n. gen."	Linheraptor	"n. sp."	exquisitus					"IVPP V 16923"	China	"Nei Mongol"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Wulansuhai
132487	PaleoDB	"P. Mannion"		Microraptor	"n. sp."	hanqingi					"LVH 0026"	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"	Aptian	125.450	112.600	Jiufotang
133007	PaleoDB	"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	Mexico	Chiapas	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Ocozocoautla
135741	ETE	"M. Carrano"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
137562	PaleoDB	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Wyoming	Cretaceous	"Early/Lower Cretaceous"	Albian	112.600	99.700	Cloverly
137566	PaleoDB	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Wyoming	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	Cloverly
137567	PaleoDB	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Wyoming	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	Cloverly
137577	PaleoDB	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Wyoming	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	Cloverly
137604	PaleoDB	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Wyoming	Cretaceous	"Early/Lower Cretaceous"		125.450	99.700	Cloverly
137607	PaleoDB	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Aptian	125.450	112.600	Cloverly
137611	PaleoDB	"M. Carrano"		Deinonychus		antirrhopus					"YPM 5205"	"United States"	Montana	Cretaceous	"Early/Lower Cretaceous"	Aptian	125.450	112.600	Cloverly
137798	ETE	"R. Benson"		Richardoestesia	cf.	isosceles					"LSUMGS 489:6238"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
140570	ETE	"P. Wagner"		Itemirus		medullaris					"PIN 327/699"	Uzbekistan	Navoi	Cretaceous	"Late/Upper Cretaceous"	Turonian	94.300	89.300	Bissekty
141578	PaleoDB	"P. Mannion"		Austroraptor		cabazai					MML-195	Argentina	"Río Negro"	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	Allen
152258		"M. Carrano"		Saurornitholestes		langstoni		Saurornitholestes		sp.	"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
152259		"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
152268		"M. Carrano"		Atrociraptor		marshalli					"TMP 95.166.1"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Horseshoe Canyon"
152270		"M. Carrano"		Atrociraptor		marshalli					"TMP 95.166.1"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Horseshoe Canyon"
152271		"M. Carrano"		Atrociraptor		marshalli					"TMP 95.166.1"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Horseshoe Canyon"
152271		"M. Carrano"		Richardoestesia	cf.	gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Horseshoe Canyon"
152279		"M. Carrano"		Richardoestesia		isosceles					"LSUMGS 489:6238"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
152279		"M. Carrano"		Dromaeosaurus		albertensis					"AMNH 5356"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
152279		"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
152280		"M. Carrano"		Richardoestesia	cf.	gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Horseshoe Canyon"
152397		"R. Benson"	"n. gen."	Acheroraptor	"n. sp."	temertyorum					"ROM 63777"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
154213		"P. Mannion"		Richardoestesia	aff.	gilmorei					"NMC 343"	Portugal	Lourinha	Jurassic	"Late/Upper Jurassic"	Kimmeridgian	155.700	150.800	Lourinhã
154423		"D. Nicholson"	cf.	Richardoestesia		sp.						"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland
154425		"D. Nicholson"	cf.	Richardoestesia		sp.						"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
154661		"D. Nicholson"		Richardoestesia	cf.	isosceles					"LSUMGS 489:6238"	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
156148		"M. Carrano"	cf.	Richardoestesia		sp.						"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Fruitland
158243		"R. Benson"	"n. gen."	Changyuraptor	"n. sp."	yangi					"HG B016"	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"		130.000	122.460	Yixian
168986		"M. Carrano"		Velociraptor		sp.						Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
174241		"M. Carrano"	"n. gen."	Dakotaraptor	"n. sp."	steini					PBMNH.P10.113.T	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
180790		"P. Holroyd"		Saurornitholestes		langstoni					"RTMP 74.10.5"	"United States"	"South Carolina"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Coachman
181415		"M. Carrano"	"n. gen."	Hulsanpes	"n. sp."	perlei		Theropoda		indet.	"ZPAL MgD-I/173"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Baruungoyot
183109		"P. Holroyd"	cf.	Richardoestesia		isosceles					"LSUMGS 489:6238"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
183109		"P. Holroyd"	cf.	Dromaeosaurus		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
183109		"P. Holroyd"	cf.	Saurornitholestes		sp.						"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
187920		"M. Carrano"	aff.	Deinonychus		sp.						Brazil	Paraíba	Cretaceous	"Early/Lower Cretaceous"		145.500	130.000	Sousa
190544		"M. Carrano"	"n. gen."	Halszkaraptor	"n. sp."	escuilliei					"MPC D-102/109"	Mongolia	Omnogov	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Djadokhta
193675		"P. Mannion"		Richardoestesia		sp.						Romania	Hunedoara	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	
194604		"G. Lloyd"	"n. gen."	Zhongjianosaurus	"n. sp."	yangi					"IVPP V22775"	China	Liaoning	Cretaceous	"Early/Lower Cretaceous"	Aptian	125.450	112.600	Yixian
200123		"E. Vlachos"		Richardoestesia		sp.						"United States"	Utah	Cretaceous	"Late/Upper Cretaceous"		98.2	93	"Cedar Mountain"
