collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
22698	ETE	"A. Behrensmeyer"		Dromaeosaurus		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
22698	ETE	"A. Behrensmeyer"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
22698	ETE	"A. Behrensmeyer"		Richardoestesia		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	79.7	79.0	"Dinosaur Park"
22699	ETE	"A. Behrensmeyer"		Boreonykus		certekorum		Dromaeosauridae		indet.	"TMP 1989.055.0047"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Wapiti
22699	ETE	"A. Behrensmeyer"	"n. gen."	Boreonykus	"n. sp."	certekorum		Saurornitholestes		sp.	"TMP 1989.055.0047"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Wapiti
24563	ETE	"A. Rees"	cf.	Richardoestesia		sp.						Portugal	Leiria	Jurassic	"Late/Upper Jurassic"	Kimmeridgian	155.700	150.800	Alcobaça
24894	PaleoDB	"M. Carrano"		Saurornitholestes		langstoni					"RTMP 74.10.5"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
24894	PaleoDB	"M. Carrano"		Dromaeosaurus		albertensis					"AMNH 5356"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
24894	PaleoDB	"M. Carrano"		Richardoestesia		gilmorei					"NMC 343"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
24924	Fossilworks	"J. Alroy"	cf.	Saurornitholestes		sp.						"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Menefee
25073	PaleoDB	"M. Carrano"	cf.	Saurornitholestes		sp.						"United States"	Texas	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Aguja
