collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	collection.reference_no	country	state	period	epoch	stage	ma_max	ma_min	formation
48836	PaleoDB	"M. Carrano"		Edmontosaurus		annectens		Anatosaurus		annectens	"USNM 2414"	12319	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
48838	ETE	"M. Carrano"	?	Saurolophus		sp.		Saurolophinae		indet.		18055	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
48839	ETE	"M. Carrano"		Parasaurolophus		sp.		Parasaurolophus		tubicen		38106	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
48941	ETE	"M. Carrano"		Kritosaurus		sp.						68428	"United States"	Texas	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Aguja
49016	ETE	"M. Carrano"		Edmontosaurus		sp.		Anatosaurus		sp.		13079	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
49079	ETE	"M. Carrano"	"n. gen."	Hypacrosaurus	"n. sp."	altispinus	"n. gen."	Cheneosaurus	"n. sp."	tolmanensis	"NMC 2246"	17548	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
49233	ETE	"M. Carrano"		Hypacrosaurus		altispinus		Hypacrosaurus		sp.	"AMNH 5206"	12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	
49234	ETE	"M. Carrano"		Edmontosaurus		regalis		Trachodontidae		indet.	"NMC 2288"	62882	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Horseshoe Canyon"
49235	ETE	"M. Carrano"	"n. gen."	Lambeosaurus	"n. sp."	lambei					"ROM 1218"	12343	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
49236	ETE	"M. Carrano"		Lambeosaurus		lambei		Stephanosaurus		marginatus	"ROM 1218"	62887	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	
49237	ETE	"M. Carrano"		Lambeosaurus		lambei		Lambeosaurus		lambei	"ROM 1218"	24163	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
49238	ETE	"M. Carrano"		Edmontosaurus	"n. sp."	annectens		Claosaurus	"n. sp."	annectens	"USNM 2414"	9095	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
49524	ETE	"M. Carrano"		Edmontosaurus	"n. sp."	regalis		Agathaumas	"n. sp."	milo	"AMNH (lost)"	53327	"United States"	Colorado	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Laramie
49524	ETE	"M. Carrano"	"n. gen."	Cionodon	"n. sp."	arctatus					"AMNH 3951"	53327	"United States"	Colorado	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Laramie
50082	ETE	"M. Carrano"		Trachodon		sp.						13456	"United States"	"South Dakota"	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Lance
50088	ETE	"M. Carrano"		Edmontosaurus		sp.						13466	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Hell Creek"
51316	ETE	"M. Carrano"	"n. gen."	Edmontosaurus	"n. sp."	regalis					"NMC 2288"	17549	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Horseshoe Canyon"
51521	ETE	"M. Carrano"	"n. gen."	Orthomerus	"n. sp."	dolloi					"BMNH 42955"	13701	Belgium	Limburg	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	Maastricht
51534	ETE	"M. Carrano"	"n. gen."	Parasaurolophus	"n. sp."	cyrtocristatus					"FMNH P27393"	13707	"United States"	"New Mexico"	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Kirtland
51545	ETE	"M. Carrano"		Trachodon		sp.		Hadrosauridae		indet.		13709	Mexico	Coahuila	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Cerro del Pueblo"
51861	ETE	"M. Carrano"		Lambeosaurus	"n. sp."	clavinitialis					"NMC 8703"	12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
51862	ETE	"M. Carrano"		Lambeosaurus		clavinitialis					"NMC 8703"	12319	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
51863	ETE	"M. Carrano"		Lambeosaurus	"n. sp."	magnicristatus		Lambeosaurus	"n. sp."	magnicristatum	"NMC 8705"	12118	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
