occurrence.genus_name	status	ma_max	ma_min
Itemirus	extinct	94.3	89.3
Itemirus	extinct	94.3	89.3
Richardoestesia	extinct	94.3	89.3
Richardoestesia	extinct	130	112.6
Richardoestesia	extinct	70.6	66.043
Saurornitholestes	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	76.2
Dromaeosaurus	extinct	76.8	75.3
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	130	125.45
Dromaeosaurus	extinct	84.9	70.6
Dromaeosaurus	extinct	84.9	70.6
Saurornitholestes	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	76.2
Bambiraptor	extinct	84.9	70.6
Nuthetes	extinct	145.5	140.2
Velociraptor	extinct	84.9	70.6
Velociraptor	extinct	84.9	70.6
Velociraptor	extinct	84.9	70.6
Adasaurus	extinct	70.6	66.043
Sinornithosaurus	extinct	125.45	122.46
Saurornitholestes	extinct	84.9	70.6
Dromaeosaurus	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Dromaeosaurus	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Dromaeosaurus	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Richardoestesia	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
Saurornitholestes	extinct	70.6	66.043
Saurornitholestes	extinct	70.6	66.043
Saurornitholestes	extinct	70.6	66.043
Saurornitholestes	extinct	70.6	66.043
Saurornitholestes	extinct	70.6	66.043
Saurornitholestes	extinct	70.6	66.043
Saurornitholestes	extinct	81.3	76.2
Saurornitholestes	extinct	81.3	76.2
Dromaeosauroides	extinct	145.5	140.2
Deinonychus	extinct	112.6	99.7
Shanag	extinct	145.5	99.7
Saurornitholestes	extinct	70.2	70
Richardoestesia	extinct	70.2	70
Dromaeosaurus	extinct	70.6	66.043
Velociraptor	extinct	99.7	66.043
Nuthetes	extinct	145.5	140.2
Richardoestesia	extinct	95.3	94.5
Saurornitholestes	extinct	70.2	70
Dromaeosaurus	extinct	70.2	70
Saurornitholestes	extinct	70.6	70.4
Richardoestesia	extinct	70.6	70.4
Saurornitholestes	extinct	70.2	70
Saurornitholestes	extinct	70.6	70.4
Saurornitholestes	extinct	70.2	70
Saurornitholestes	extinct	70.6	70
Saurornitholestes	extinct	70.2	70
Richardoestesia	extinct	70.2	70
Dromaeosaurus	extinct	70.6	70.4
Saurornitholestes	extinct	70.2	70
Itemirus	extinct	94.3	89.3
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	70.6	66.043
Saurornitholestes	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Nuthetes	extinct	145.5	140.2
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Microraptor	extinct	125.45	112.6
Microraptor	extinct	125.45	112.6
Microraptor	extinct	125.45	112.6
Saurornitholestes	extinct	84.9	70.6
Velociraptor	extinct	84.9	70.6
Luanchuanraptor	extinct	99.7	66.043
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
Saurornitholestes	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
Dromaeosaurus	extinct	70.6	66.043
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Deinonychus	extinct	122.46	112.6
Deinonychus	extinct	122.46	112.6
Richardoestesia	extinct	122.46	112.6
Atrociraptor	extinct	84.9	66.043
Saurornitholestes	extinct	84.9	70.6
Balaur	extinct	70.6	66.043
Deinonychus	extinct	125.45	99.7
Yurgovuchia	extinct	130	125.45
Richardoestesia	extinct	99.7	94.3
Deinonychus	extinct	125.45	99.7
Microraptor	extinct	125.45	112.6
Saurornitholestes	extinct	70.6	66.043
Saurornitholestes	extinct	84.9	70.6
Microraptor	extinct	125.45	122.46
Zhenyuanlong	extinct	130	112.6
Velociraptor	extinct	84.9	70.6
Velociraptor	extinct	84.9	70.6
Linheraptor	extinct	84.9	70.6
Microraptor	extinct	125.45	112.6
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
Deinonychus	extinct	112.6	99.7
Deinonychus	extinct	125.45	99.7
Deinonychus	extinct	125.45	99.7
Deinonychus	extinct	125.45	99.7
Deinonychus	extinct	125.45	99.7
Deinonychus	extinct	125.45	112.6
Deinonychus	extinct	125.45	112.6
Richardoestesia	extinct	70.6	66.043
Itemirus	extinct	94.3	89.3
Austroraptor	extinct	84.9	66.043
Saurornitholestes	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Atrociraptor	extinct	84.9	66.043
Atrociraptor	extinct	84.9	66.043
Atrociraptor	extinct	84.9	66.043
Richardoestesia	extinct	84.9	66.043
Richardoestesia	extinct	84.9	70.6
Dromaeosaurus	extinct	84.9	70.6
Saurornitholestes	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Acheroraptor	extinct	70.6	66.043
Richardoestesia	extinct	155.7	150.8
Richardoestesia	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Richardoestesia	extinct	84.9	70.6
Changyuraptor	extinct	130	122.46
Velociraptor	extinct	84.9	70.6
Dakotaraptor	extinct	70.6	66.043
Saurornitholestes	extinct	84.9	70.6
Hulsanpes	extinct	84.9	70.6
Richardoestesia	extinct	70.6	66.043
Dromaeosaurus	extinct	70.6	66.043
Saurornitholestes	extinct	70.6	66.043
Deinonychus	extinct	145.5	130
Halszkaraptor	extinct	84.9	70.6
Richardoestesia	extinct	70.6	66.043
Zhongjianosaurus	extinct	125.45	112.6
Richardoestesia	extinct	98.2	93
